symptoms,symptom_text,solution
headache,Sudden ah headache vanthuruchu,"Headache irundhaal, steam inhale pannunga hot drinks kudikkavum"
fever,Stress nala enakku fever aagudhu,"Fever irundhaal, doctor advice follow pannunga"
cough,Office work nala cough varudhu,"Cough irundhaal, tablet eduthukkonga doctor consult pannunga"
cold,Romba naal ah cold varudhu,"Cold irundhaal, steam inhale pannunga hot drinks kudikkavum"
stomach pain,Romba naal ah stomach pain varudhu,"Stomach pain irundhaal, tablet eduthukkonga doctor consult pannunga"
tooth pain,Enakku innaiku tooth pain irukku,"Tooth pain irundhaal, home remedy try pannunga"
eye pain,Romba naal ah eye pain varudhu,"Eye pain irundhaal, doctor advice follow pannunga"
ear pain,Office work nala ear pain varudhu,"Ear pain irundhaal, steam inhale pannunga hot drinks kudikkavum"
back pain,Sudden ah back pain vanthuruchu,"Back pain irundhaal, light food sapdunga heavy food avoid pannunga"
throat pain,Office work nala throat pain varudhu,"Throat pain irundhaal, water kudikkavum rest pannunga"
gas problem,Sudden ah gas problem vanthuruchu,"Gas problem irundhaal, affected area clean pannunga"
allergy,Sudden ah allergy vanthuruchu,"Allergy irundhaal, light food sapdunga heavy food avoid pannunga"
acidity,Romba naal ah acidity varudhu,"Acidity irundhaal, affected area clean pannunga"
constipation,Kaalai la constipation start aagudhu,"Constipation irundhaal, home remedy try pannunga"
dizziness,Office work nala dizziness varudhu,"Dizziness irundhaal, doctor advice follow pannunga"
burning eyes,Sudden ah burning eyes vanthuruchu,"Burning eyes irundhaal, tablet eduthukkonga doctor consult pannunga"
hair fall,Sudden ah hair fall vanthuruchu,"Hair fall irundhaal, doctor advice follow pannunga"
stress,Office work nala stress varudhu,"Stress irundhaal, affected area clean pannunga"
anxiety,Office work nala anxiety varudhu,"Anxiety irundhaal, water kudikkavum rest pannunga"
depression,Sudden ah depression vanthuruchu,"Depression irundhaal, home remedy try pannunga"
insomnia,Enakku innaiku insomnia irukku,"Insomnia irundhaal, doctor advice follow pannunga"
obesity,Office work nala obesity varudhu,"Obesity irundhaal, light food sapdunga heavy food avoid pannunga"
diabetes,Stress nala enakku diabetes aagudhu,"Diabetes irundhaal, tablet eduthukkonga doctor consult pannunga"
