id,symptom,symptom_text,solution
1,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
2,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
3,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
4,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
5,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
6,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
7,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
8,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
9,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
10,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
11,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
12,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
13,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
14,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
15,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
16,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
17,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
18,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
19,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
20,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
21,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
22,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
23,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
24,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
25,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
26,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
27,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
28,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
29,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
30,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
31,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
32,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
33,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
34,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
35,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
36,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
37,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
38,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
39,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
40,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
41,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
42,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
43,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
44,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
